time,ref_freq,est_freq,confidence
26.233,467.3294874561583,58.531,0.035
26.234,467.3294874561583,58.534,0.035
26.235,467.3294874561583,58.54,0.036
26.236,467.3294874561583,58.535,0.036
26.237,467.3294874561583,58.536,0.035
26.238,467.3294874561583,58.535,0.036
26.239,467.3294874561583,58.529,0.033
26.24,467.3294874561583,58.524,0.032
26.241,467.3294874561583,58.518,0.032
26.242,467.3294874561583,58.508,0.03
26.243,467.3294874561583,58.496,0.031
26.244,467.3294874561583,58.484,0.032
26.245,467.3294874561583,58.478,0.032
26.246,467.3294874561583,58.461,0.033
26.247,467.3294874561583,58.453,0.032
26.248,467.3294874561583,58.45,0.033
26.249,467.3294874561583,58.44,0.03
26.25,467.3294874561583,58.43,0.029
26.251,467.3294874561583,58.422,0.029
26.252,467.3294874561583,58.418,0.027
26.253,467.3294874561583,58.402,0.026
26.254,467.3294874561583,58.395,0.026
26.255,467.3294874561583,58.395,0.024
26.256,467.3294874561583,58.387,0.024
26.257,467.3294874561583,58.384,0.023
26.258,467.3294874561583,58.386,0.024
26.259,467.3294874561583,58.375,0.025
26.26,467.3294874561583,58.376,0.025
26.261,467.3294874561583,58.378,0.027
26.262,467.3294874561583,58.38,0.027
26.263,467.3294874561583,58.383,0.029
26.264,467.3294874561583,58.392,0.03
26.265,467.3294874561583,58.404,0.03
26.266,467.3294874561583,58.4,0.03
26.267,467.3294874561583,58.405,0.03
26.268,467.3294874561583,58.414,0.031
26.269,467.3294874561583,58.412,0.032
26.27,467.3294874561583,58.413,0.032
26.271,467.3294874561583,58.424,0.035
26.272,467.3294874561583,58.428,0.036
26.273,467.3294874561583,58.432,0.038
26.274,467.3294874561583,58.433,0.041
26.275,467.3294874561583,58.445,0.042
26.276,467.3294874561583,58.451,0.046
26.277,467.3294874561583,58.455,0.045
26.278,467.3294874561583,58.46,0.046
26.279,467.3294874561583,58.453,0.047
26.28,467.3294874561583,58.457,0.046
26.281,467.3294874561583,58.451,0.045
26.282,467.3294874561583,58.448,0.044
26.283,467.3294874561583,58.448,0.042
26.284,467.3294874561583,58.452,0.042
26.285,467.3294874561583,58.455,0.041
26.286,467.3294874561583,58.449,0.041
26.287,467.3294874561583,58.443,0.041
26.288,467.3294874561583,58.449,0.042
26.289,467.3294874561583,58.446,0.043
26.29,467.3294874561583,58.448,0.042
26.291,467.3294874561583,58.458,0.043
26.292,467.3294874561583,58.462,0.042
26.293,467.3294874561583,58.473,0.04
26.294,467.3294874561583,58.474,0.039
26.295,467.3294874561583,58.482,0.036
26.296,467.3294874561583,58.485,0.035
26.297,467.3294874561583,58.487,0.033
26.298,467.3294874561583,58.683,0.033
26.299,467.3294874561583,58.496,0.033
26.3,467.3294874561583,58.686,0.032
26.301,467.3294874561583,58.507,0.033
26.302,467.3294874561583,58.511,0.034
26.303,467.3294874561583,58.7,0.033
26.304,467.3294874561583,58.702,0.035
26.305,467.3294874561583,58.712,0.034
26.306,467.3294874561583,58.714,0.035
26.307,467.3294874561583,58.716,0.036
26.308,467.3294874561583,58.72,0.035
26.309,467.3294874561583,58.72,0.036
26.31,467.3294874561583,58.719,0.035
26.311,467.3294874561583,58.718,0.035
26.312,467.3294874561583,58.714,0.035
26.313,467.3294874561583,58.716,0.035
26.314,467.3294874561583,58.71,0.035
26.315,467.3294874561583,58.704,0.035
26.316,467.3294874561583,58.523,0.035
26.317,467.3294874561583,58.517,0.037
26.318,467.3294874561583,58.519,0.036
26.319,467.3294874561583,58.52,0.038
26.32,467.3294874561583,58.52,0.036
26.321,467.3294874561583,58.526,0.036
26.322,467.3294874561583,58.701,0.036
26.323,467.3294874561583,58.534,0.035
26.324,467.3294874561583,58.704,0.035
26.325,467.3294874561583,58.534,0.034
26.326,467.3294874561583,58.706,0.034
